,Country,GDP per capita,Móvil,Internet,Banda Ancha,Year
0,Aruba,,,,,1961
1,Africa Eastern and Southern,147.014903980571,,,,1961
2,Afghanistan,59.8608999923829,,,,1961
3,Africa Western and Central,113.081646612926,,,,1961
4,Angola,,,,,1961
5,Albania,,,,,1961
6,Andorra,,,,,1961
7,Arab World,,,,,1961
8,United Arab Emirates,,,,,1961
9,Argentina,,,,,1961
10,Armenia,,,,,1961
11,American Samoa,,,,,1961
12,Antigua and Barbuda,,,,,1961
13,Australia,1877.6166377325,,,,1961
14,Austria,1031.8150043291,,,,1961
15,Azerbaijan,,,,,1961
16,Burundi,71.1671882088235,,,,1961
17,Belgium,1350.19767333123,,,,1961
18,Benin,95.5722322308738,,,,1961
19,Burkina Faso,71.558180092437,,,,1961
20,Bangladesh,97.5952917047176,,,,1961
21,Bulgaria,,,,,1961
22,Bahrain,,,,,1961
23,"Bahamas, The",1651.31767315288,,,,1961
24,Bosnia and Herzegovina,,,,,1961
25,Belarus,,,,,1961
26,Belize,316.413629488762,,,,1961
27,Bermuda,1961.5381691712,,,,1961
28,Bolivia,109.061303979425,,,,1961
29,Brazil,232.480546230829,,,,1961
30,Barbados,,,,,1961
31,Brunei Darussalam,,,,,1961
32,Bhutan,,,,,1961
33,Botswana,64.1761395717201,,,,1961
34,Central African Republic,80.6880637274186,,,,1961
35,Canada,2240.43303945853,,,,1961
36,Central Europe and the Baltics,,,,,1961
37,Switzerland,1971.31632279228,,,,1961
38,Channel Islands,,,,,1961
39,Chile,555.134402585522,,,,1961
40,China,75.8058379259965,,,,1961
41,Cote d'Ivoire,170.243050474462,,,,1961
42,Cameroon,123.514808121384,,,,1961
43,"Congo, Dem. Rep.",197.391359160417,,,,1961
44,"Congo, Rep.",145.405978762349,,,,1961
45,Colombia,274.052264169385,,,,1961
46,Comoros,,,,,1961
47,Cabo Verde,,,,,1961
48,Costa Rica,355.002748805393,,,,1961
49,Caribbean small states,476.901483888726,,,,1961
50,Cuba,,,,,1961
51,Curacao,,,,,1961
52,Cayman Islands,,,,,1961
53,Cyprus,,,,,1961
54,Czech Republic,,,,,1961
55,Germany,,,,,1961
56,Djibouti,,,,,1961
57,Dominica,,,,,1961
58,Denmark,,,,,1961
59,Dominican Republic,192.027612511237,,,,1961
60,Algeria,214.771980100889,,,,1961
61,East Asia & Pacific (excluding high income),80.05589636894,,,,1961
62,Early-demographic dividend,156.920471540743,,,,1961
63,East Asia & Pacific,148.658154285347,,,,1961
64,Europe & Central Asia (excluding high income),,,,,1961
65,Europe & Central Asia,,,,,1961
66,Ecuador,375.221304612462,,,,1961
67,"Egypt, Arab Rep.",,,,,1961
68,Euro area,1005.02227285536,,,,1961
69,Eritrea,,,,,1961
70,Spain,450.053289246968,,,,1961
71,Estonia,,,,,1961
72,Ethiopia,,,,,1961
73,European Union,,,,,1961
74,Fragile and conflict affected situations,,,,,1961
75,Finland,1327.427224366,,,,1961
76,Fiji,287.267055901963,,,,1961
77,France,1428.04600063164,,,,1961
78,Faroe Islands,,,,,1961
79,"Micronesia, Fed. Sts.",,,,,1961
80,Gabon,331.435801780181,,,,1961
81,United Kingdom,1472.38571407868,,,,1961
82,Georgia,,,,,1961
83,Ghana,190.218882959143,,,,1961
84,Gibraltar,,,,,1961
85,Guinea,,,,,1961
86,"Gambia, The",,,,,1961
87,Guinea-Bissau,,,,,1961
88,Equatorial Guinea,,,,,1961
89,Greece,590.780054812393,,,,1961
90,Grenada,,,,,1961
91,Greenland,,,,,1961
92,Guatemala,253.227290034998,,,,1961
93,Guam,,,,,1961
94,Guyana,315.385459502551,,,,1961
95,High income,1466.13251885733,,,,1961
96,"Hong Kong SAR, China",436.754411520393,,,,1961
97,Honduras,169.909755119116,,,,1961
98,Heavily indebted poor countries (HIPC),107.929000129914,,,,1961
99,Croatia,,,,,1961
100,Haiti,68.7643393279884,,,,1961
101,Hungary,,,,,1961
102,IBRD only,157.926328463754,,,,1961
103,IDA & IBRD total,148.553618166792,,,,1961
104,IDA total,100.751397713964,,,,1961
105,IDA blend,104.729978162511,,,,1961
106,Indonesia,,,,,1961
107,IDA only,101.944642860489,,,,1961
108,Isle of Man,,,,,1961
109,India,85.354300989206,,,,1961
110,Not classified,,,,,1961
111,Ireland,739.276406442666,,,,1961
112,"Iran, Islamic Rep.",196.925090553012,,,,1961
113,Iraq,,,,,1961
114,Iceland,1418.12586971526,,,,1961
115,Israel,1436.38443935927,,,,1961
116,Italy,887.336744604475,,,,1961
117,Jamaica,453.057834372083,,,,1961
118,Jordan,,,,,1961
119,Japan,568.907742697122,,,,1961
120,Kazakhstan,,,,,1961
121,Kenya,94.6512926815322,,,,1961
122,Kyrgyz Republic,,,,,1961
123,Cambodia,109.460350249774,,,,1961
124,Kiribati,,,,,1961
125,St. Kitts and Nevis,243.832121775577,,,,1961
126,"Korea, Rep.",93.8286490466039,,,,1961
127,Kuwait,,,,,1961
128,Latin America & Caribbean (excluding high income),356.009889487941,,,,1961
129,Lao PDR,,,,,1961
130,Lebanon,,,,,1961
131,Liberia,,,,,1961
132,Libya,,,,,1961
133,St. Lucia,,,,,1961
134,Latin America & Caribbean,396.454394092933,,,,1961
135,Least developed countries: UN classification,,,,,1961
136,Low income,,,,,1961
137,Liechtenstein,,,,,1961
138,Sri Lanka,142.838142371621,,,,1961
139,Lower middle income,93.9583043970445,,,,1961
140,Low & middle income,142.129829947664,,,,1961
141,Lesotho,41.8567485851429,,,,1961
142,Late-demographic dividend,157.573131495891,,,,1961
143,Lithuania,,,,,1961
144,Luxembourg,2222.36636636277,,,,1961
145,Latvia,,,,,1961
146,"Macao SAR, China",,,,,1961
147,St. Martin (French part),,,,,1961
148,Morocco,158.923580138871,,,,1961
149,Monaco,,,,,1961
150,Moldova,,,,,1961
151,Madagascar,133.847760915801,,,,1961
152,Maldives,,,,,1961
153,Middle East & North Africa,,,,,1961
154,Mexico,363.393270895902,,,,1961
155,Marshall Islands,,,,,1961
156,Middle income,145.611839152089,,,,1961
157,North Macedonia,,,,,1961
158,Mali,,,,,1961
159,Malta,,,,,1961
160,Myanmar,26.3083569138825,,,,1961
161,Middle East & North Africa (excluding high income),,,,,1961
162,Montenegro,,,,,1961
163,Mongolia,,,,,1961
164,Northern Mariana Islands,,,,,1961
165,Mozambique,,,,,1961
166,Mauritania,181.836096058281,,,,1961
167,Mauritius,,,,,1961
168,Malawi,46.5815851690079,,,,1961
169,Malaysia,225.933593537059,,,,1961
170,North America,2991.59289655406,,,,1961
171,Namibia,,,,,1961
172,New Caledonia,,,,,1961
173,Niger,139.340323395365,,,,1961
174,Nigeria,96.9790299795105,,,,1961
175,Nicaragua,131.450652555931,,,,1961
176,Netherlands,1159.39235716074,,,,1961
